,16
"""A",1
"""Bollard",1
"""For",1
"""Very",1
$175M,1
'Bad,1
'Broken,1
'Calorie-Bomb,1
'Exciting,1
'God'S,1
'Hard,1
'Kill-Switch,1
'Largest,1
'Lioness,1
'Loved,1
'Mega,1
'Not,1
'Play,1
'Polio,1
'Psychic,1
'Repeatedly,1
'Run,1
'Sea,1
'Show,1
'Simple,1
'Sleepy,1
'Supervolcano,1
'Tel,1
'Virgin,1
'Wettest,1
0.7Kg,1
"1,000",2
1-0,1
1-2,1
1.3M,1
10,1
"10,000",1
100,1
17Th,2
18,1
1963,1
1997,1
20,1
200,1
2009,1
2020,1
2021,1
2024,2
24-Year-Old,1
30,1
385-Million-Year-Old,1
50,1
6,1
70,1
700,1
80,1
Able,1
Abortion,1
Accessibility,1
Accessible,1
Acclaimed,1
Achieved,1
Across,1
Action,1
Actually,2
Adapt,1
Adds,1
Advanced,1
Adventures,1
Advertise,1
Advice,1
Aerospace'S,1
Affects,1
Africa,1
Africa'S,1
Age,1
Ago,2
Ai,3
Ai-Fuelled,1
Aiding,1
Alaska,2
Albion,1
Alec,1
Alexander,1
Alive,1
Allegedly,1
Allow,1
Allows,1
Almost,1
Alom,1
Alone,1
Along,1
Also,1
Alter,1
America,6
American,1
Americans,1
Ancient,2
Angeles,1
Angry,2
Anne,1
Answer,1
Antarctic,1
Antarctica,1
Anthony,1
Apparently,1
Appearing,1
Apple,2
Approach,1
April,1
Archive,1
Arm,1
Armourer,1
Art,3
Artificial,1
Arts,1
Asexual,1
Asia,1
Asked,2
Astrophysicist,1
Atmosphere,1
Attached,1
Attacking,1
Attacks,1
Attitude,1
Attraction,1
Attractions,1
Audio,2
Auroch,1
Aurora,1
Australia,3
Authorities,1
Average,1
Aviv,1
Avocado,1
Award,1
Back,5
Bagels,1
Baldwin,1
Ban,1
Banff,1
Bank,1
Battle,2
Battleground,1
Bbc,9
Bbc'S,1
Bear,2
Bears,2
Beat,1
Beatles,1
Beautiful,1
Beaver,1
Beavers,1
Became,3
Beck,1
Become,1
Becoming,1
Bedroom,1
Beer,1
Began,1
Behind,3
Believe,2
Believers,1
Belly,1
Beneath,1
Benefits,3
Bermuda,1
Best,4
Better,1
Biden,1
Big-Money,1
Bike,1
Bike-In,1
Billionaires,1
Bills,1
Birds,2
Births,1
Bloody,1
Blooms,1
Blue,2
Blues,2
Bobbing,1
Bodies,1
Body,2
Bombing,1
Bones,1
Books,1
Born,1
Boss,2
Botswana'S,1
Boy'S,1
Boys,1
Bracing,1
Brain,4
Brains,1
Brainwaves,1
Brand,1
Breaking,1
Bred,1
Bridges,1
Brightest-Ever,1
Brigitte,1
Bring,1
Bristol,1
British,3
Britons,1
Brits,1
Broods,1
Brooklyn,1
Brussels,1
Bubonic,1
Bugbears,1
Building'S,1
Buildings,1
Built,1
Bulb,1
Bun,1
Burton,1
Business,5
Cabins,1
Cairo,1
Cake,1
California,1
Cambridge,1
Cameras,1
Can'T,1
Canada,2
Canada'S,1
Canadian,1
Cancer,2
Canoes,1
Captain,1
Captured,1
Car,1
Carbonara,1
Card'S,1
Career,3
Caribbean,1
Carpet,1
