,-2
"""At",-1
"""Conspiracy",1
"""Does",-1
"""Into",-1
"""Very",0
$56Bn,-1
$61Bn,1
'A,-1
'Ai,-1
'Apocalyptic,0
'Appalled,-1
'Balloon,0
'Broken,0
'Calorie-Bomb,0
'Chat,0
'Don'T,1
'Exciting,0
'Extends,-1
'For,1
'Guinea,0
'Hard,0
'I,-1
'Kill-Switch,0
'Largest,0
'Leaked,-1
'Mega,0
'Missed,1
'My,-1
'No,0
'Polio,0
'Rediscovery,-1
'Sea,0
'Shameful,-1
'Sick,1
'Sleepy,0
'Sorry,-1
'Supervolcano,0
'Swatting,1
'Twice,0
'Virgin,0
'We,-1
'Weighing,-1
'Wettest,-1
'Zombie,1
"1,000",0
10,-1
"10,000",0
100,0
10Th,2
12,-1
12-Person,-1
17Th,0
1963,0
1997,0
1St,-1
200,0
2009,-1
2024,-1
2024'S,-1
24-Year-Old,0
28.57M,2
"3,000",-1
"3,000-Year-Old",0
385-Million-Year-Old,0
5-7,0
50,0
50M,1
70,0
700,0
80,1
Able,0
Abuse,1
Accelerator,1
Accessibility,0
Account,-1
Across,-1
Action,-1
Actions,-1
Activist,-1
Actually,0
Adapt,0
Addict,1
Adds,0
Advanced,1
Adventures,0
Advertise,0
Advice,0
Affair,1
Affects,0
Affluent,0
Afford,0
Africa,0
Africa'S,-1
After-Dark,-1
Age,0
Aged,0
Ago,-2
Agreed,-1
Ai,1
Aid,1
Aiding,0
Aim,1
Air,1
Alaska,0
Album,0
Alexander,0
Alive,0
Allegations,1
Alleged,-2
Allman,1
Allows,0
Almost,0
Alom,0
Alone,0
Along,0
Also,0
Alter,0
Although,1
Amazonian,1
America,0
American,-1
Among,1
Ancient,-2
Andrea,-1
Angeles,0
Angry,0
Answer,-1
Answers,-1
Antarctic,0
Antarctica,0
Anthony,0
App,0
Apparently,0
Apple,0
Approach,0
April,0
Archive,0
Arena,1
Arguments,-1
Around,-1
Arrest,-3
Arrested,1
Art,0
Artificial,1
Artist,-1
Arts,0
Asexual,0
Ash,0
Asia,0
Aside,1
Ask,1
Asked,-1
Asking,1
Aspinall,-1
Astronauts,-1
Astrophysicist,0
Atalanta,-1
Attached,0
Attack,4
Attention,0
Attitude,0
Attract,1
Attraction,0
Attractions,0
Audible,1
Audio,0
Auroch,0
Aurora,0
Australia,1
Author,-1
Average,0
Averted,1
Avocado,0
Awaiting,1
Award,-1
Awards,-1
Ayurveda,-1
Baby,0
Back,1
Backstreets,-1
Bagels,0
Ballot,-1
Ban,-1
Band,1
Banh,0
Bank,-1
Bankers,1
Banned,1
Barrier,1
Baseball,1
Based,-1
Bases,0
Bbc,2
Bbc'S,0
Bear,0
Bears,0
Beat,0
Beats,-1
Beautiful,0
Beaver,0
Beavers,0
Became,-1
Beck,0
Become,0
Becomes,-1
Becoming,0
Bedroom,0
Beer,0
